frame,landmark_index,x,y,z
0,0,0.5780082941055298,0.3602120876312256,-0.5839131474494934
0,1,0.5998358130455017,0.32911837100982666,-0.5439038276672363
0,2,0.6129966378211975,0.33045709133148193,-0.5446349382400513
0,3,0.6252346634864807,0.3303767442703247,-0.5447185635566711
0,4,0.5548187494277954,0.3303576707839966,-0.5406684875488281
0,5,0.5439499020576477,0.33090853691101074,-0.5414838790893555
0,6,0.5293880701065063,0.3326701521873474,-0.5420637130737305
0,7,0.6427735686302185,0.3469316363334656,-0.29264765977859497
0,8,0.5135319828987122,0.34998375177383423,-0.2731092870235443
0,9,0.6051480174064636,0.3981371521949768,-0.4823615849018097
0,10,0.5511763691902161,0.3958032727241516,-0.48176562786102295
0,11,0.7369784116744995,0.5509140491485596,-0.16872885823249817
0,12,0.42443203926086426,0.5404086112976074,-0.0760219395160675
0,13,0.8103154301643372,0.8382481932640076,-0.32574066519737244
0,14,0.3406755030155182,0.8094084858894348,-0.2796163856983185
0,15,0.6510995626449585,0.752463698387146,-0.7425565123558044
0,16,0.39602944254875183,0.7076109647750854,-0.8100529909133911
0,23,0.6650087237358093,0.9689803719520569,-0.014339705929160118
0,24,0.446708083152771,0.9568285942077637,0.013834887184202671
1,0,0.5780206918716431,0.36016783118247986,-0.6064355373382568
1,1,0.598584771156311,0.32745543122291565,-0.5722057223320007
1,2,0.612665593624115,0.32870757579803467,-0.5730035901069641
1,3,0.6250001788139343,0.32887738943099976,-0.5731077790260315
1,4,0.554689884185791,0.3292469084262848,-0.568576991558075
1,5,0.5426579713821411,0.33045026659965515,-0.5694107413291931
1,6,0.5291855335235596,0.33235469460487366,-0.570020318031311
1,7,0.6426154375076294,0.3459130823612213,-0.3397352993488312
1,8,0.5131781697273254,0.3500553369522095,-0.31772875785827637
1,9,0.6061517000198364,0.39660072326660156,-0.5101309418678284
1,10,0.5512219071388245,0.394918829202652,-0.5089446306228638
1,11,0.7369762659072876,0.5501449704170227,-0.20855192840099335
1,12,0.4253251850605011,0.5378603935241699,-0.12182419002056122
1,13,0.8037846684455872,0.8320913314819336,-0.3254552185535431
1,14,0.34091857075691223,0.8080735206604004,-0.3075200021266937
1,15,0.6510995030403137,0.7493218779563904,-0.6843481659889221
1,16,0.39882832765579224,0.7083653211593628,-0.8178672790527344
1,23,0.6620065569877625,0.9669672846794128,-0.014349978417158127
1,24,0.4474376440048218,0.9560935497283936,0.013844689354300499
2,0,0.5780315399169922,0.3601290285587311,-0.6098566651344299
2,1,0.5977156758308411,0.32637283205986023,-0.5768929123878479
2,2,0.6123660802841187,0.3276209235191345,-0.5776998400688171
