frame,hand_index,hand_landmark_index,hand_x,hand_y,hand_z,pose_landmark_index,pose_x,pose_y,pose_z
12,0,0,0.4346383810043335,0.811165988445282,3.2527280868777098e-09,,,,
12,0,1,0.4762633442878723,0.8103957176208496,0.011960898526012897,,,,
12,0,2,0.5151523351669312,0.8259819149971008,0.007932204753160477,,,,
12,0,3,0.5410593152046204,0.8449536561965942,0.0021219789050519466,,,,
12,0,4,0.5565152168273926,0.8543250560760498,-0.0032212836667895317,,,,
12,0,5,0.5240022540092468,0.8398554921150208,-0.019884565845131874,,,,
12,0,6,0.5476529002189636,0.8789175748825073,-0.0161599088460207,,,,
12,0,7,0.535515308380127,0.8807660341262817,-0.005560117773711681,,,,
12,0,8,0.5247818827629089,0.8719070553779602,0.00029270414961501956,,,,
12,0,9,0.5026513934135437,0.8531936407089233,-0.02966565079987049,,,,
12,0,10,0.5240528583526611,0.8885622024536133,-0.024145709350705147,,,,
12,0,11,0.514700710773468,0.8877977132797241,-0.010160156525671482,,,,
12,0,12,0.5049275159835815,0.8797678351402283,-0.0029804413206875324,,,,
12,0,13,0.47750675678253174,0.8646339178085327,-0.03523244336247444,,,,
12,0,14,0.49824538826942444,0.8949402570724487,-0.02551816962659359,,,,
12,0,15,0.4906441271305084,0.893223226070404,-0.008096590638160706,,,,
12,0,16,0.481548011302948,0.8858456611633301,0.0001066269469447434,,,,
12,0,17,0.4525054693222046,0.8744227290153503,-0.04016543924808502,,,,
12,0,18,0.47008684277534485,0.8959702849388123,-0.02901359461247921,,,,
12,0,19,0.46496525406837463,0.8913395404815674,-0.014972199685871601,,,,
12,0,20,0.4568556845188141,0.8850520253181458,-0.007031838875263929,,,,
12,,,,,,0,0.5350353717803955,0.3039339780807495,-1.4100631475448608
12,,,,,,1,0.5574162006378174,0.2714807689189911,-1.352484941482544
12,,,,,,2,0.5739116668701172,0.2743779718875885,-1.3533941507339478
12,,,,,,3,0.5882856845855713,0.27699607610702515,-1.3532493114471436
12,,,,,,4,0.5152841210365295,0.26636412739753723,-1.356183648109436
12,,,,,,5,0.4995012581348419,0.2658514976501465,-1.3570973873138428
12,,,,,,6,0.4851100742816925,0.2660342752933502,-1.3581229448318481
12,,,,,,7,0.6083731651306152,0.2935647666454315,-0.9736523032188416
12,,,,,,8,0.4608660936355591,0.2817807197570801,-0.9902719259262085
12,,,,,,9,0.5594986081123352,0.34173572063446045,-1.258672833442688
12,,,,,,10,0.5043959617614746,0.3382425308227539,-1.2689241170883179
12,,,,,,11,0.6967206597328186,0.5221068859100342,-0.7110921740531921
12,,,,,,12,0.35451748967170715,0.5097452998161316,-0.773600697517395
12,,,,,,13,0.7165153622627258,0.7898887991905212,-0.8238385319709778
12,,,,,,14,0.27112019062042236,0.7670438885688782,-1.0696194171905518
12,,,,,,15,0.6458062529563904,0.9865370988845825,-1.3177704811096191
12,,,,,,16,0.4517243504524231,0.8465648293495178,-1.6970378160476685
12,,,,,,23,0.6136521100997925,0.9536781907081604,0.025425413623452187
12,,,,,,24,0.3970659077167511,0.9459089040756226,-0.025657154619693756
13,0,0,0.4341706335544586,0.7576684951782227,5.723795215573091e-09,,,,
13,0,1,0.47103404998779297,0.7454728484153748,0.0096565131098032,,,,
13,0,2,0.5136117935180664,0.7437053918838501,0.0004775813140440732,,,,
13,0,3,0.5444386601448059,0.7451401352882385,-0.010923787951469421,,,,
13,0,4,0.5620250105857849,0.7408481240272522,-0.021468928083777428,,,,
13,0,5,0.5160820484161377,0.7312025427818298,-0.03117738850414753,,,,
13,0,6,0.5491417050361633,0.7628402709960938,-0.039843834936618805,,,,
13,0,7,0.5400263071060181,0.7768251299858093,-0.037010978907346725,,,,
13,0,8,0.5305395126342773,0.7784692645072937,-0.03600652143359184,,,,
13,0,9,0.49899572134017944,0.7419449687004089,-0.0454442985355854,,,,
13,0,10,0.5318088531494141,0.7811607718467712,-0.056519024074077606,,,,
13,0,11,0.5235980749130249,0.7886530160903931,-0.04937318339943886,,,,
13,0,12,0.5140635371208191,0.7853209972381592,-0.04536258801817894,,,,
13,0,13,0.479824036359787,0.7567728757858276,-0.055886294692754745,,,,
13,0,14,0.5097115635871887,0.7938147783279419,-0.060632698237895966,,,,
13,0,15,0.5018142461776733,0.7980015277862549,-0.04525100439786911,,,,
13,0,16,0.49235838651657104,0.7937749624252319,-0.03646343573927879,,,,
13,0,17,0.46090781688690186,0.7728084325790405,-0.06593155115842819,,,,
13,0,18,0.48314589262008667,0.802370548248291,-0.06577654927968979,,,,
13,0,19,0.47820788621902466,0.8033587336540222,-0.0539301261305809,,,,
13,0,20,0.47150731086730957,0.7989809513092041,-0.04653707146644592,,,,
13,,,,,,0,0.535515546798706,0.30484282970428467,-1.347017526626587
13,,,,,,1,0.5582281947135925,0.27175819873809814,-1.2877579927444458
13,,,,,,2,0.5745241641998291,0.2745649218559265,-1.2887152433395386
13,,,,,,3,0.588955819606781,0.27711716294288635,-1.288555383682251
13,,,,,,4,0.5156033039093018,0.26658183336257935,-1.290795087814331
13,,,,,,5,0.4998064339160919,0.26599404215812683,-1.2917134761810303
13,,,,,,6,0.48546671867370605,0.2661667466163635,-1.2926944494247437
